the_geom,cartodb_id,bbl,fc_subsidy_id
,811973,2029260008,1000000000835
,811974,2029290001,1000000000836
,811975,2029297501,1000000000837
,811976,2029310073,1000000000838
,811977,2029310082,1000000000839
,811978,2029330063,1000000000840
,811979,2029330067,1000000000841
,811980,2029340019,1000000000842
,811981,2029340045,1000000000843
,811982,2029370058,1000000000845
,811983,2029400019,1000000000846
,811984,2029480040,1000000000847
,811985,2029570008,1000000000848
,811986,2029610025,1000000000849
,811987,2029620006,1000000000850
,811988,2029620009,1000000000851
,811989,2024880036,1000000000852
,811990,2029620044,1000000000852
,811991,2032090045,1000000000852
,811992,2029630047,1000000000853
,811993,2029640029,1000000000854
,811994,2029650051,1000000000855
,811995,2029700043,1000000000856
,811996,2029710016,1000000000857
,811997,2029730061,1000000000858
,811998,2029750013,1000000000859
,811999,2029750037,1000000000860
,812000,2029760007,1000000000861
,812001,2029767501,1000000000862
,812002,2029770134,1000000000863
,812003,2029780177,1000000000864
,812004,2029780179,1000000000864
,812005,2029780177,1000000000865
,812006,2029780179,1000000000865
,812007,2029780198,1000000000866
,812008,2029810021,1000000000867
,812009,2029850031,1000000000868
,812010,2029857501,1000000000869
,812011,2029870015,1000000000870
,812012,2029870025,1000000000871
,812013,2029880004,1000000000872
,812014,2029880016,1000000000873
,812015,2029910026,1000000000874
,812016,2029920052,1000000000875
,812017,2029950038,1000000000876
,812018,2030010009,1000000000877
,812019,2030010020,1000000000878
,812020,2030020016,1000000000879
,812021,2030050007,1000000000880
,812022,2030240080,1000000000881
,812023,2030310007,1000000000882
,812024,2030310021,1000000000883
,812025,2030370071,1000000000884
,812026,2030400003,1000000000885
,812027,2030430001,1000000000886
,812028,2030500010,1000000000887
,812029,2030500070,1000000000888
,812030,2030580041,1000000000889
,812031,2030610005,1000000000890
,812032,2030610005,1000000000891
,812033,2030610032,1000000000891
,812034,2030610068,1000000000891
,812035,2024210022,1000000000892
,812036,2024270001,1000000000892
,812037,2025900102,1000000000892
,812038,2026120035,1000000000892
,812039,2028070067,1000000000892
,812040,2030610059,1000000000892
,812041,2030610068,1000000000893
,812042,2030680077,1000000000894
,812043,2030690101,1000000000894
,812044,2030690017,1000000000895
,812045,2030690099,1000000000896
,812046,2030680077,1000000000897
,812047,2030690101,1000000000897
,812048,2030700008,1000000000898
,812049,2030700030,1000000000899
,812050,2030790009,1000000000900
,812051,2030810008,1000000000901
,812052,2030980001,1000000000902
,812053,2027650226,1000000000903
,812054,2031010021,1000000000903
,812055,2031020035,1000000000904
,812056,2031030020,1000000000905
,812057,2031080044,1000000000906
,812058,2031110010,1000000000907
,812059,2031110049,1000000000908
,812060,2031130009,1000000000909
,812061,2031210038,1000000000910
,812062,2031210046,1000000000911
,812063,2031230077,1000000000912
,812064,2031250001,1000000000913
,812065,2031260001,1000000000914
,812066,2031270073,1000000000915
,812067,2031280001,1000000000916
,812068,2031280029,1000000000917
,812069,2031330018,1000000000918
,812070,2031360001,1000000000919
,812071,2031420090,1000000000920
,812072,2031130009,1000000000921
,812073,2031430036,1000000000921
,812074,2031567501,1000000000922
,812075,2031600005,1000000000923
,812076,2031600009,1000000000924
,812077,2031600035,1000000000925
,812078,2031650010,1000000000926
,812079,2031690002,1000000000927
,812080,2031690045,1000000000928
,812081,2031710037,1000000000929
,812082,2031780055,1000000000930
,812083,2031810001,1000000000931
,812084,2031820004,1000000000932
,812085,2031930024,1000000000933
,812086,2032040009,1000000000935
,812087,2032067501,1000000000936
,812088,2024880036,1000000000937
,812089,2029620044,1000000000937
,812090,2032090045,1000000000937
,812091,2032120080,1000000000938
,812092,2032160052,1000000000939
,812093,2032210017,1000000000940
,812094,2032250118,1000000000941
,812095,2032250136,1000000000942
,812096,2032480150,1000000000943
,812097,2032560005,1000000000944
,812098,2032560020,1000000000945
,812099,2032720002,1000000000946
,812100,2032820065,1000000000947
,812101,2032830040,1000000000948
,812102,2032910008,1000000000949
,812103,2033060001,1000000000950
,812104,2033150001,1000000000951
,812105,2033220057,1000000000952
,812106,2033530007,1000000000953
,812107,2033550121,1000000000954
,812108,2033560099,1000000000955
,812109,2033600062,1000000000956
,812110,2033607501,1000000000957
,812111,2035150060,1000000000958
,812112,2026230135,1000000000959
,812113,2026280001,1000000000959
,812114,2035700001,1000000000959
,812115,2035960035,1000000000960
,812116,2037107501,1000000000961
,812117,2037440075,1000000000962
,812118,2038057501,1000000000963
,812119,2039800001,1000000000964
,812120,2039970025,1000000000965
,812121,2040077501,1000000000966
,812122,2042530080,1000000000967
,812123,2042530084,1000000000968
,812124,2042847501,1000000000969
,812125,2044270004,1000000000970
,812126,2044280019,1000000000971
,812127,2045060001,1000000000972
,812128,2045457501,1000000000973
,812129,2046240037,1000000000974
,812130,2048360001,1000000000975
,812131,2050390007,1000000000976
,812132,2051110001,1000000000977
,812133,2051417501,1000000000978
,812134,2058517501,1000000000979
,812135,3000280005,1000000000980
,812136,3000367504,1000000000981
,812137,3001527501,1000000000982
,812138,3001700015,1000000000983
,812139,3001710001,1000000000984
,812140,3001797503,1000000000985
,812141,3001850019,1000000000986
,812142,3002367502,1000000000987
,812143,3002777501,1000000000988
,812144,3003207502,1000000000989
,812145,3003577501,1000000000990
,812146,3003950059,1000000000991
,812147,3004510025,1000000000992
,812148,3004680002,1000000000993
,812149,3005310022,1000000000994
,812150,3005390021,1000000000995
,812151,3005560032,1000000000996
,812152,3005650001,1000000000997
,812153,1016810022,1000000000195
,812154,1016370023,1000000000196
,812155,1016830010,1000000000196
,812156,1016870014,1000000000197
,812157,1016870038,1000000000198
,812158,1016890004,1000000000199
,812159,1016890050,1000000000200
